"logo","name","nơi bắt đầu","giờ bay","ma chuyến bay","chi tiết","nơi đến","giờ đến","giá tiền","ngày","thứ","giá t"
"https://ibe.vemaybay.vn/Resources/Images/Airline/VJ.gif","Vietjet Air","Hà Nội","20:00","VJ151","Chi tiết","Hồ Chí Minh","22:00","1,870,600 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/VJ.gif","Vietjet Air","Hà Nội","22:40","VJ161","Chi tiết","Hồ Chí Minh","00:50","1,870,600 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/QH.gif","Bamboo Airways","Hà Nội","21:50","QH285","Chi tiết","Hồ Chí Minh","00:05","2,024,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/QH.gif","Bamboo Airways","Hà Nội","23:40","QH283","Chi tiết","Hồ Chí Minh","01:50","2,024,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/VJ.gif","Vietjet Air","Hà Nội","23:00","VJ165","Chi tiết","Hồ Chí Minh","01:10","2,108,200 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/QH.gif","Bamboo Airways","Hà Nội","19:55","QH289","Chi tiết","Hồ Chí Minh","22:10","2,176,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/QH.gif","Bamboo Airways","Hà Nội","20:20","QH291","Chi tiết","Hồ Chí Minh","22:35","2,176,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/QH.gif","Bamboo Airways","Hà Nội","21:20","QH281","Chi tiết","Hồ Chí Minh","23:30","2,176,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/VJ.gif","Vietjet Air","Hà Nội","20:00","VJ151","Chi tiết","Hồ Chí Minh","22:00","2,225,920 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/VJ.gif","Vietjet Air","Hà Nội","22:40","VJ161","Chi tiết","Hồ Chí Minh","00:50","2,225,920 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/VJ.gif","Vietjet Air","Hà Nội","21:00","VJ159","Chi tiết","Hồ Chí Minh","23:10","2,237,800 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/QH.gif","Bamboo Airways","Hà Nội","18:55","QH269","Chi tiết","Hồ Chí Minh","21:05","2,284,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/BL.gif","Pacific Airline","Hà Nội","18:50","VN6039","Chi tiết","Hồ Chí Minh","21:05","2,312,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/BL.gif","Pacific Airline","Hà Nội","21:10","VN6021","Chi tiết","Hồ Chí Minh","23:25","2,312,000 VND","","",""
"https://ibe.vemaybay.vn/Resources/Images/Airline/BL.gif","Pacific Airline","Hà Nội","21:45","VN6045","Chi tiết","Hồ Chí Minh","23:59","2,312,000 VND","","",""
